ProductID,ProductName,MissingFields,EngineFlag,ScoreGenerated
"1","5 Star","",0,1
"2","Amul 99% Cacao","",0,1
"3","Amul Bitter Chocolate","",0,1
"4","Amul Buttermilk","",0,1
"5","Amul Dark Chocolate","",0,1
"6","Amul Sugar Free Chocolate","",0,1
"7","Amul Taaza Milk","",0,1
"8","Amul Tricone","",0,1
"9","Arokya Full Cream Milk","",0,1
"10","Arun Butterscotch","",0,1
"11","Arun Chocolate Ice Cream","",0,1
"12","Bingo Original","",0,1
"13","Aquafina Water","",0,1
"14","Boost","",0,1
"15","Bourbon","",0,1
"16","Britannia Good Day Butter","",0,1
"17","Britannia Good Day Cashew","",0,1
"18","Britannia Good Day Choco Chip","",0,1
"19","Britannia Good Day Pista Badam","",0,1
"20","Britannia Marie Gold","",0,1
"21","Britannia NutriChoice 5 Grain","",0,1
"22","Britannia NutriChoice Digestive","",0,1
"23","Britannia NutriChoice Milk Biscuits","",0,1
"24","Britannia NutriChoice Orange Biscuits","",0,1
"25","Britannia Tiger","",0,1
"26","Britannia Treat Jim Jam","",0,1
"27","Britannia Treat Orange Creme","",0,1
"28","Cadbury Bournville Cranberry","",0,1
"29","Cadbury Dairy Milk","",0,1
"30","Cadbury Perk","",0,1
"31","Cavin's Chocolate Milkshake","",0,1
"32","Cavin's Spiced Buttermilk","",0,1
"33","Cavin's Vanilla Milkshake","",0,1
"34","Coca-Cola","",0,1
"35","Complan Royale Chocolate","",0,1
"36","Dark Fantasy Chocolate Milkshake","",0,1
"37","Diet Coke","",0,1
"38","Diet Pepsi","",0,1
"39","Farmley Almond Kernels","",0,1
"40","Farmley Pumpkin Seeds","",0,1
"41","Farmley Sunflower Seeds","",0,1
"42","Frooti Mango Drink","",0,1
"43","Happilo Premium Californian Almonds","",0,1
"44","Hershey's Chocolate Milkshake","",0,1
"45","Hershey's Vanilla Milkshake","",0,1
"46","Horlicks Classic Malt","",0,1
"47","Kellogg's Chocos","",0,1
"48","Kellogg's Muesli","",0,1
"49","Kellogg's Muesli Fruit Nut & Seeds","",0,1
"50","Kurkure Chilli Chatka","",0,1
"51","Kurkure Masala Munch","",0,1
"52","Lay's American Style Cream & Onion","",0,1
"53","Lay's Chile Limon","",0,1
"54","Lay's Classic","",0,1
"55","Lay's Hot & Sweet Chilli","",0,1
"56","Lay's India's Magic Masala","",0,1
"57","Lay's Tomato Tango","",0,1
"58","Maaza","",0,1
"59","Magnum Almond","",0,1
"60","Magnum Chocolate","",0,1
"61","Makino Roasted Masala Cashews","",0,1
"62","Manna Health Mix","",0,1
"63","MilkyMist Buttermilk","",0,1
"64","MilkyMist Chocolate Milkshake","",0,1
"65","MilkyMist Ice Cream Bar","",0,1
"66","MilkyMist Vanilla Milkshake","",0,1
"67","Mirinda","",0,1
"68","Nandini Toned Milk","",0,1
"69","Nestlé KitKat","",0,1
"70","Nestlé Milkybar","",0,1
"71","Nestlé Munch","",0,1
"72","Oreo Chocolate Creme","",0,1
"73","Oreo Vanilla Creme","",0,1
"74","Paper Boat Aamras","",0,1
"75","Paper Boat Coconut Water","",0,1
"76","Parle Hide & Seek","",0,1
"77","Pepsi","",0,1
"78","Pluckk Tender Coconut Water","",0,1
"79","Pran Potata Spicy Biscuit","",0,1
"80","Raw Pressery Coconut Water","",0,1
"81","Real Coconut Water","",0,1
"82","Slice Mango Drink","",0,1
"83","Sunfeast Dark Fantasy Choco Fills","",0,1
"84","Taali Masala Cashews","",0,1
"85","Tata Sampann Premium Almonds","",0,1
"86","Tata Soulfull Choco Muesli","",0,1
"87","Tata Soulfull Millet Muesli","",0,1
"88","Thums Up","",0,1
"89","Too Yumm NutriChips","",0,1
"90","Too Yumm Veggix","",0,1
"91","True Elements Raw Pumpkin Seeds","",0,1
"92","True Elements Raw Sunflower Seeds","",0,1
"93","Yoga Bar Blueberry Protein Bar","",0,1
"94","Yoga Bar Choco Chunk Protein Bar","",0,1
"95","Yoga Bar Dark Chocolate Protein Bar","",0,1
"96","Yoga Bar Fruit & Nut Protein Bar","",0,1
"97","Yoga Bar Millet Muesli","",0,1
"98","Yoga Bar Muesli","",0,1
"99","Yoga Bar Nuts & Fruits Muesli","",0,1
"100","Yoga Bar Pumpkin Seeds","",0,1
